Controller Latency Test Results per Switches,,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
2 Switch,4065.48,1262.09,50238.8,14784.65,40017.31,5339.74,18312.97,60949.66,15893.59
4 Switch,4022.32,2017.97,69339.3,24907.08,61511.5,5547.86,27925.67,74319.42,21302.06
8 Switch,4177.84,2931.82,67548.39,32013.89,76191.99,5876.22,28243.72,75640.05,22734.11
16 Switch,4161.81,3745.14,89125.13,33319.65,84004.96,6055.96,31526.1,76893.87,22868.69
,,,,,,,,,
,,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
2 switches,6809.810,4860.380,92506.17,87699.75,175369.08,8985.41,147310.26,93531.85,104978.25
4 switches,6833.61,5156.800,164002.41,84614.7,314848.36,9139.05,147633.79,94430.19,105185.34
8 switches,7112.8,5316.000,183918.57,90102.41,505059.74,9303.77,147940.72,101550.51,104997.96
16 switches,5736.92,5305.800,140195.17,106786.56,476195.85,8940.87,147910.47,101702.12,96725.02