switch_cpu.dat {CPU Utilization (ovs-vswitchd) % },,,,,,,,,
,Nox,Pox,Floodlight,OpenDaylight,ONOS,Ryu,OpenMul,Beacon,Maestro
10,15.8,35.1,29.8,9.9,35.6,10,14,24,37.9
20,51.9,65.7,35.9,59.9,83.8,13.8,17.8,75.8,51.2
30,67.9,63.9,65.2,59.9,81.8,24,16,67.9,45.9
40,59.9,71.9,57.6,67.9,87.8,25.9,22,75.9,45.9
50,61.9,67.9,61.7,77.9,83.8,19.9,28,75.9,33.9
60,57.9,57.9,63.2,41.9,89.8,24,20,69.9,43.9
70,61.9,65.3,39.9,43.9,91.8,21.9,24,59.9,43.9
80,70.6,55.9,63.9,49.9,85.8,29.9,27.9,73.9,49.2
90,61.9,61.7,47.9,69.6,89.8,29.9,21.7,75.9,51.9
100,63.9,49.9,61.9,67.4,55.9,22,25.6,77.8,51.9
110,63.9,57.9,75.8,71.6,91.8,20,22,71.8,63.9
120,59.9,59.9,51.9,67.9,83.2,19.9,18,65.9,39.9
130,61.3,63.9,36,39.9,85.8,29.9,24,79.8,65.8
140,65.9,65.8,29.6,29.9,89.8,18,26,79.9,57.5
150,53.9,61.8,61.9,43.5,88.5,19.9,25.9,77.8,33.8
160,61.8,61.9,34,65.9,87.8,19.9,21.9,79.8,57.9
170,61.9,57.9,63.8,23.7,53.9,18,22,77.8,41.9
180,51.9,63.8,45.8,71.9,87.8,18,19.9,73.9,25.9
190,61.6,69.9,59.9,25.7,87.8,22,22,71.9,41.9
200,69.8,65.9,59.9,55.9,83.5,22,16,71.9,57.8
210,65.9,69.8,61.8,57.9,81.9,14,25.9,73.8,49.9
220,63.9,55.9,37.9,62.8,85.8,25.9,22,71.9,51.9
230,65.7,53.9,33.9,73.9,89.8,25.7,25.9,71.9,53.9
240,20,67.9,24,61.9,85.8,28,20,77.5,42
250,13.8,59.9,29.9,61.9,89.8,21.9,25.9,73.5,59.9
260,2,59.8,53.9,67.9,87.8,29.7,16,72,77.9
270,0,53.9,33.9,73.1,87.8,29.9,19.9,73.9,35.9
280,49.9,45.9,49.4,77.8,87.8,16,21.8,73.9,63.9
290,45.9,65.8,53.9,77.8,85.8,16,13.7,71.9,33.9